trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-163.6724916513151,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,2.1732790779175652,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,2.9582986590637614,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.0625}",25,0,-16.35374325720915,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.04}",25,16,12.811284107261214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,0,11.09165911554984,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",20,3,-2.7900802017436175,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.015625}",20,0,-22.805944762958298,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,6,6.866897135535792,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",20,2,21.58215956478552,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,0,1.944272458733358,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,0.7888347098878903,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,9,-7.587174368885222,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,0,-12.464076563321715,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,6,10.59398429386291,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",20,0,34.240483471783165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",25,0,18.233010710005495,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",25,1,-5.675162624222401,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",20,3,-21.17449225808953,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.0025}",25,6,32.77194263003112,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
