trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.67488413711784,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.14447105486475,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.06753368224307,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.9182660051936,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.95350568254229,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.01622497527865,"{0: 10, 1: 5, 2: 8, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,12,-25.218362436785366,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.45007920696278,"{0: 19, 1: 1, 2: 3, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.11344003626001,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,8,-40.6041945772711,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-34.38645399555987,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,20,-40.017247748797246,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.90247731917466,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.3623162406853,"{0: 10, 1: 0, 2: 11, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.72325045210357,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.541404731025,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.78225126791173,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.17654508313495,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,3,-158.87979853419844,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.1722085541364,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.8113345626958,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.48070257811595,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.93369626147394,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.32008704191938,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.05647371889663,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.63458875022647,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.04947239033854,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.62422414408482,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.787800238446835,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.32958941601302,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
